run_accession	scientific_name	sample_lat	sample_lon	biome	mapping	Assembling
SRR10598174	groundwater	57.26	16.39	Freshwater	Yes	Yes
SRR8931196	groundwater	43.0	-92.5	Freshwater	Yes	Yes
SRR5209765	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR3546453	groundwater	45.045278	141.859444	Freshwater	Yes	Yes
SRR5209658	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR8931242	groundwater	43.0	-92.5	Freshwater	Yes	Yes
SRR5209767	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR5209771	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR5855238	groundwater	39.32	-107.46	Freshwater	Yes	Yes
SRR3546450	groundwater	45.045278	141.859444	Freshwater	Yes	Yes
SRR2090160	groundwater	39.5369	-107.7828	Freshwater	Yes	Yes
SRR8931189	groundwater	43.0	-92.5	Freshwater	Yes	Yes
SRR5209763	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR3546451	groundwater	45.045278	141.859444	Freshwater	Yes	Yes
SRR5209142	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR1658467	groundwater	39.5369	-107.7828	Freshwater	Yes	Yes
SRR5209623	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR5754826	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR5754828	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR4023064	ice	-78.445169	106.870651	Freshwater	Yes	Yes
SRR5754829	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR5211153	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR5754786	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR4114636	ice	-84.267917	-153.209338	Freshwater	Yes	Yes
SRR4023065	ice	-78.445169	106.870651	Freshwater	Yes	Yes
SRR5754830	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR4114638	ice	-84.267917	-153.209338	Freshwater	Yes	Yes
SRR5215118	ice	81.017	-81.583	Freshwater	Yes	Yes
SRR5754827	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR4114637	ice	-84.267917	-153.209338	Freshwater	Yes	Yes
SRR5211162	ice	46.8319	-72.5	Freshwater	Yes	Yes
SRR10810023	insect_gut	35.13	140.23	Invertebrate animals	Yes	Yes
SRR5942194	insect_gut	25.0752	102.4461	Invertebrate animals	Yes	Yes
SRR5942192	insect_gut	25.0752	102.446	Invertebrate animals	Yes	Yes
SRR10810015	insect_gut	35.27	139.34	Invertebrate animals	Yes	Yes
SRR5942169	insect_gut	25.0752	102.4456	Invertebrate animals	Yes	Yes
SRR10810007	insect_gut	36.03	140.07	Invertebrate animals	Yes	Yes
SRR10810021	insect_gut	35.13	140.23	Invertebrate animals	Yes	Yes
SRR5942238	insect_gut	25.0752	102.4466	Invertebrate animals	Yes	Yes
SRR10810005	insect_gut	36.03	140.07	Invertebrate animals	Yes	Yes
SRR10810037	insect_gut	35.42	139.45	Invertebrate animals	Yes	Yes
SRR10810017	insect_gut	35.27	139.34	Invertebrate animals	Yes	Yes
SRR10810010	insect_gut	35.27	139.34	Invertebrate animals	Yes	Yes
SRR10810030	insect_gut	35.42	139.45	Invertebrate animals	Yes	Yes
SRR10810008	insect_gut	35.27	139.34	Invertebrate animals	Yes	Yes
SRR10810039	insect_gut	35.42	139.45	Invertebrate animals	Yes	Yes
SRR10810006	insect_gut	36.03	140.07	Invertebrate animals	Yes	Yes
SRR4028154	insect_gut	39.0042816	-77.1012173	Invertebrate animals	Yes	Yes
SRR10810028	insect_gut	35.13	140.23	Invertebrate animals	Yes	Yes
SRR5942171	insect_gut	25.0752	102.4457	Invertebrate animals	Yes	Yes
SRR10810038	insect_gut	35.42	139.45	Invertebrate animals	Yes	Yes
SRR5942209	insect_gut	25.0752	102.4462	Invertebrate animals	Yes	Yes
SRR10810019	insect_gut	35.13	140.23	Invertebrate animals	Yes	Yes
SRR10810011	insect_gut	35.27	139.34	Invertebrate animals	Yes	Yes
SRR10810020	insect_gut	35.13	140.23	Invertebrate animals	Yes	Yes
SRR10810035	insect_gut	35.42	139.45	Invertebrate animals	Yes	Yes
SRR10810041	insect_gut	36.03	140.07	Invertebrate animals	Yes	Yes
SRR10810029	insect_gut	36.03	140.07	Invertebrate animals	Yes	Yes
SRR10810014	insect_gut	35.27	139.34	Invertebrate animals	Yes	Yes
SRR10810002	insect_gut	36.03	140.07	Invertebrate animals	Yes	Yes
SRR5942179	insect_gut	25.0752	102.4459	Invertebrate animals	Yes	Yes
SRR3201731	invertebrate_gut	11.369	142.588	Invertebrate animals	Yes	Yes
SRR5273330	lake_water	44.504638	-83.045851	Freshwater	Yes	Yes
SRR6129211	lake_water	-68.5558	78.1913	Freshwater	Yes	Yes
SRR10955842	lake_water	43.0995	-89.4045	Freshwater	Yes	Yes
SRR6237659	lake_water	42.26	-71.08	Freshwater	Yes	Yes
SRR8075945	lake_water	34.261117	-83.950069	Freshwater	Yes	Yes
SRR4029375	lake_water	46.041	-89.686	Freshwater	Yes	Yes
SRR11050254	lake_water	-1.64	29.05	Freshwater	Yes	Yes
SRR4029063	lake_water	46.041	-89.686	Freshwater	Yes	Yes
SRR2179956	lake_water	44.99	-73.11	Freshwater	Yes	Yes
SRR5208700	lake_water	-77.605	163.163	Freshwater	Yes	Yes
SRR8075970	lake_water	34.261117	-83.950069	Freshwater	Yes	Yes
SRR10955550	lake_water	43.0995	-89.4045	Freshwater	Yes	Yes
SRR8517161	lake_water	49.69	-93.69	Freshwater	Yes	Yes
SRR3985627	lake_water	43.098333	-89.405278	Freshwater	Yes	Yes
SRR6129210	lake_water	-68.5558	78.1913	Freshwater	Yes	Yes
SRR3987495	lake_water	43.098333	-89.405278	Freshwater	Yes	Yes
SRR3986883	lake_water	43.098333	-89.405278	Freshwater	Yes	Yes
SRR10956001	lake_water	43.0995	-89.4045	Freshwater	Yes	Yes
SRR9199119	lake_water	-77.43	162.18	Freshwater	Yes	Yes
SRR3184745	lake_water	42.23	-121.52	Freshwater	Yes	Yes
SRR4754863	lake_water	47.06972222	8.31416667	Freshwater	Yes	Yes
SRR3986884	lake_water	43.098333	-89.405278	Freshwater	Yes	Yes
DRR125123	lake_water	35.2193	135.9957	Freshwater	Yes	Yes
SRR8075986	lake_water	30.743083	-84.858652	Freshwater	Yes	Yes
SRR7182500	lake_water	41.705	-83.25638889	Freshwater	Yes	Yes
SRR10955476	lake_water	43.0995	-89.4045	Freshwater	Yes	Yes
SRR10955150	lake_water	43.0995	-89.4045	Freshwater	Yes	Yes
SRR9302962	lake_water	25.94	100.16	Freshwater	Yes	Yes
SRR6200751	lake_water			Freshwater	Yes	Yes
SRR10868578	lake_water	64.32796	-95.98515	Freshwater	Yes	Yes
ERR1762067	mouse_gut	40.7128	74.0059	Animals	Yes	Yes
ERR192254	mouse_gut	32.056849	118.778965	Animals	Yes	Yes
SRR4116674	mouse_gut	39.9	116.4	Animals	Yes	Yes
ERR1762087	mouse_gut	40.7128	74.0059	Animals	Yes	Yes
ERR3357628	mouse_gut	52.210939	10.53131	Animals	Yes	Yes
SRR5927718	mouse_gut	37.767815	-122.394171	Animals	Yes	Yes
ERR1762119	mouse_gut	40.7128	74.0059	Animals	Yes	Yes
SRR5927687	mouse_gut	37.767815	-122.394165	Animals	Yes	Yes
SRR5927709	mouse_gut	37.767815	-122.394191	Animals	Yes	Yes
SRR5927724	mouse_gut	37.767815	-122.394197	Animals	Yes	Yes
ERR1762098	mouse_gut	40.7128	74.0059	Animals	Yes	Yes
SRR4116660	mouse_gut	39.9	116.4	Animals	Yes	Yes
SRR7228037	mouse_gut	51.51	-0.13	Animals	Yes	Yes
ERR192252	mouse_gut	32.056849	118.778965	Animals	Yes	Yes
SRR5927678	mouse_gut	37.767815	-122.394161	Animals	Yes	Yes
ERR192258	mouse_gut	32.056849	118.778965	Animals	Yes	Yes
SRR4116663	mouse_gut	39.9	116.4	Animals	Yes	Yes
SRR5927707	mouse_gut	37.767815	-122.39419	Animals	Yes	Yes
ERR192256	mouse_gut	32.056849	118.778965	Animals	Yes	Yes
SRR6220868	peat			Terrestrial	Yes	Yes
SRR6220867	peat			Terrestrial	Yes	Yes
SRR5440529	peat	47.506	-93.454	Terrestrial	Yes	Yes
SRR6214541	peat			Terrestrial	Yes	Yes
SRR5440534	peat	47.506	-93.454	Terrestrial	Yes	Yes
SRR5440531	peat	47.506	-93.454	Terrestrial	Yes	Yes
SRR5440530	peat	47.506	-93.454	Terrestrial	Yes	Yes
SRR6228043	peat			Terrestrial	Yes	Yes
SRR5440533	peat	47.506	-93.454	Terrestrial	Yes	Yes
SRR6214538	peat			Terrestrial	Yes	Yes
SRR5440532	peat	47.506	-93.454	Terrestrial	Yes	Yes
SRR5440535	peat	47.505	-93.489	Terrestrial	Yes	Yes
SRR5241537	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR5241536	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR2329609	pig_gut	39.9	116.3	Animals	Yes	Yes
SRR5241535	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR5241532	pig_gut	40.416784	-3.703792	Animals	Yes	Yes
SRR2329775	pig_gut	39.9	116.3	Animals	Yes	Yes
