ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
QinJ_2012__T2D-017.part-1_4806	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Phaeovirus	Ectocarpus siliculosus virus 1
DRR147675_76202	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_35488	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_76042	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Pelagibacter phage HTVC008M
10S1_S5_L002_73	Viruses	NA	NA	NA	NA	NA	NA	NA
10S1_S5_L002_293	Viruses	NA	NA	NA	NA	NA	NA	NA
DRR125123_929539	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
DRR125126_397207	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Idiomarinaceae phage 1N2-2
DRR147677_31171	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Pelagibacter phage HTVC010P
DRR147678_41958	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Galunavirus	Galunavirus GAL1
DRR147678_32349	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230152_125721	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	Lirvirus	Lirvirus SCBP3
50m_S10_L004_31072	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_31298	Viruses	NA	NA	NA	NA	NA	NA	NA
CosteaPI_2017__daisy-11-386-0.part-1_3260	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
65m_S11_L005_13464	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147673_18699	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Synechococcus phage S-CBS2
DRR147673_11498	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_15248	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Phapecoctavirus	NA
