			
			
Samples (NCBI, JGI, MetaSub project)	Lat	Lon	Countries
SRR12002794	1.5813889	104.143611111111	Malaysia
SRR12002795	1.5813889	104.143611111111	Malaysia
SRR12002796	1.5813889	104.143611111111	Malaysia
SRR12002807	1.5813889	104.143611111111	Malaysia
SRR12002808	1.5813889	104.143611111111	Malaysia
SRR12002809	1.5813889	104.143611111111	Malaysia
SRR12817838	19.434187	-99.16233	Mexico
SRR12817839	19.434187	-99.16233	Mexico
SRR12817840	19.434187	-99.16233	Mexico
SRR12817841	19.434187	-99.16233	Mexico
SRR12817842	19.434187	-99.16233	Mexico
SRR12817843	19.434187	-99.16233	Mexico
SRR12817844	19.434187	-99.16233	Mexico
SRR12817845	19.434187	-99.16233	Mexico
SRR12817846	19.434187	-99.16233	Mexico
SRR12817847	19.434187	-99.16233	Mexico
SRR12817848	19.434187	-99.16233	Mexico
SRR12817849	19.434187	-99.16233	Mexico
SRR12817850	19.434187	-99.16233	Mexico
SRR12817851	19.434187	-99.16233	Mexico
SRR12817852	19.434187	-99.16233	Mexico
SRR12817853	19.434187	-99.16233	Mexico
SRR12817854	19.434187	-99.16233	Mexico
SRR12817855	19.434187	-99.16233	Mexico
SRR12817856	19.434187	-99.16233	Mexico
SRR12817857	19.434187	-99.16233	Mexico
SRR12817858	19.434187	-99.16233	Mexico
SRR12817859	19.434187	-99.16233	Mexico
SRR12817860	19.434187	-99.16233	Mexico
SRR12817861	19.434187	-99.16233	Mexico
SRR12817862	19.434187	-99.16233	Mexico
SRR12817863	19.434187	-99.16233	Mexico
SRR12817864	19.434187	-99.16233	Mexico
SRR12817865	19.434187	-99.16233	Mexico
SRR12817866	19.434187	-99.16233	Mexico
SRR12817867	19.434187	-99.16233	Mexico
SRR12817868	19.434187	-99.16233	Mexico
SRR12817869	19.434187	-99.16233	Mexico
SRR12817870	19.434187	-99.16233	Mexico
SRR12817871	19.434187	-99.16233	Mexico
SRR12817872	19.434187	-99.16233	Mexico
SRR12817873	19.434187	-99.16233	Mexico
SRR12817874	19.434187	-99.16233	Mexico
SRR12817875	19.434187	-99.16233	Mexico
SRR12817876	19.434187	-99.16233	Mexico
SRR12817877	19.434187	-99.16233	Mexico
SRR12817878	19.434187	-99.16233	Mexico
SRR12817879	19.434187	-99.16233	Mexico
SRR13695319	40.573712	-105.078974	United States of America
SRR17300457	49.0068705	8.4034195	Germany
SRR17300458	49.0068705	8.4034195	Germany
SRR17300459	49.0068705	8.4034195	Germany
SRR17300460	49.0068705	8.4034195	Germany
SRR17300461	49.0068705	8.4034195	Germany
SRR17300462	49.0068705	8.4034195	Germany
SRR17300463	49.0068705	8.4034195	Germany
SRR17300464	49.0068705	8.4034195	Germany
SRR17300465	49.0068705	8.4034195	Germany
SRR17300466	49.0068705	8.4034195	Germany
SRR17300467	49.0068705	8.4034195	Germany
SRR17300468	49.0068705	8.4034195	Germany
SRR17300469	49.0068705	8.4034195	Germany
SRR17300470	49.0068705	8.4034195	Germany
SRR17300471	49.0068705	8.4034195	Germany
SRR17300472	49.0068705	8.4034195	Germany
SRR17300473	49.0068705	8.4034195	Germany
SRR17300474	49.0068705	8.4034195	Germany
SRR17300475	49.0068705	8.4034195	Germany
SRR17300476	49.0068705	8.4034195	Germany
SRR17300477	49.0068705	8.4034195	Germany
SRR17300478	49.0068705	8.4034195	Germany
SRR17300479	49.0068705	8.4034195	Germany
SRR17300480	49.0068705	8.4034195	Germany
SRR17300481	49.0068705	8.4034195	Germany
SRR17300482	49.0068705	8.4034195	Germany
SRR17300483	49.0068705	8.4034195	Germany
SRR17300484	49.0068705	8.4034195	Germany
SRR17300485	49.0068705	8.4034195	Germany
SRR17300486	49.0068705	8.4034195	Germany
SRR17300487	49.0068705	8.4034195	Germany
SRR17300488	49.0068705	8.4034195	Germany
SRR17300489	49.0068705	8.4034195	Germany
SRR17300490	49.0068705	8.4034195	Germany
SRR17300491	49.0068705	8.4034195	Germany
SRR17300492	49.0068705	8.4034195	Germany
SRR17300493	49.0068705	8.4034195	Germany
SRR17300494	49.0068705	8.4034195	Germany
SRR17300495	49.0068705	8.4034195	Germany
SRR17300496	49.0068705	8.4034195	Germany
SRR17300497	49.0068705	8.4034195	Germany
SRR17300498	49.0068705	8.4034195	Germany
SRR17300499	49.0068705	8.4034195	Germany
SRR17300500	49.0068705	8.4034195	Germany
SRR17300501	49.0068705	8.4034195	Germany
SRR17300502	49.0068705	8.4034195	Germany
SRR17300503	49.0068705	8.4034195	Germany
SRR17300504	49.0068705	8.4034195	Germany
SRR17300505	49.0068705	8.4034195	Germany
SRR17300506	49.0068705	8.4034195	Germany
SRR17300507	49.0068705	8.4034195	Germany
SRR17300508	49.0068705	8.4034195	Germany
SRR17300509	49.0068705	8.4034195	Germany
SRR17300510	49.0068705	8.4034195	Germany
SRR17300511	49.0068705	8.4034195	Germany
SRR17300512	49.0068705	8.4034195	Germany
SRR17300513	49.0068705	8.4034195	Germany
SRR17300514	49.0068705	8.4034195	Germany
SRR17300515	49.0068705	8.4034195	Germany
SRR17300516	49.0068705	8.4034195	Germany
SRR17300517	49.0068705	8.4034195	Germany
SRR17300518	49.0068705	8.4034195	Germany
SRR17300519	49.0068705	8.4034195	Germany
SRR17300520	49.0068705	8.4034195	Germany
SRR17300521	49.0068705	8.4034195	Germany
SRR17300522	49.0068705	8.4034195	Germany
SRR17300523	49.0068705	8.4034195	Germany
SRR17300524	49.0068705	8.4034195	Germany
SRR17300525	49.0068705	8.4034195	Germany
SRR17300526	49.0068705	8.4034195	Germany
SRR17300527	49.0068705	8.4034195	Germany
SRR17300528	49.0068705	8.4034195	Germany
SRR17300529	49.0068705	8.4034195	Germany
SRR17300530	49.0068705	8.4034195	Germany
SRR17300531	49.0068705	8.4034195	Germany
SRR17300532	49.0068705	8.4034195	Germany
SRR17300533	49.0068705	8.4034195	Germany
SRR17300534	49.0068705	8.4034195	Germany
SRR17300535	49.0068705	8.4034195	Germany
SRR17300536	49.0068705	8.4034195	Germany
SRR17300537	49.0068705	8.4034195	Germany
SRR17300538	49.0068705	8.4034195	Germany
SRR17300539	49.0068705	8.4034195	Germany
SRR17300540	49.0068705	8.4034195	Germany
SRR17300541	49.0068705	8.4034195	Germany
SRR17300542	49.0068705	8.4034195	Germany
SRR17300543	49.0068705	8.4034195	Germany
SRR17300544	49.0068705	8.4034195	Germany
SRR17300545	49.0068705	8.4034195	Germany
SRR17300546	49.0068705	8.4034195	Germany
SRR17300547	49.0068705	8.4034195	Germany
SRR17300548	49.0068705	8.4034195	Germany
SRR17300549	49.0068705	8.4034195	Germany
SRR17300550	49.0068705	8.4034195	Germany
SRR17300551	49.0068705	8.4034195	Germany
SRR17300552	49.0068705	8.4034195	Germany
SRR17300553	49.0068705	8.4034195	Germany
SRR17300554	49.0068705	8.4034195	Germany
SRR17300555	49.0068705	8.4034195	Germany
SRR17300556	49.0068705	8.4034195	Germany
SRR17300557	49.0068705	8.4034195	Germany
SRR17300558	49.0068705	8.4034195	Germany
SRR17300559	49.0068705	8.4034195	Germany
SRR17300560	49.0068705	8.4034195	Germany
SRR17300561	49.0068705	8.4034195	Germany
SRR17300562	49.0068705	8.4034195	Germany
SRR17300563	49.0068705	8.4034195	Germany
SRR17300564	49.0068705	8.4034195	Germany
SRR17300565	49.0068705	8.4034195	Germany
SRR17300566	49.0068705	8.4034195	Germany
SRR17300567	49.0068705	8.4034195	Germany
SRR17300568	49.0068705	8.4034195	Germany
SRR17300569	49.0068705	8.4034195	Germany
SRR17300570	49.0068705	8.4034195	Germany
SRR17300571	49.0068705	8.4034195	Germany
SRR17300572	49.0068705	8.4034195	Germany
SRR17300573	49.0068705	8.4034195	Germany
SRR17300574	49.0068705	8.4034195	Germany
SRR17300575	49.0068705	8.4034195	Germany
SRR17300576	49.0068705	8.4034195	Germany
SRR17300577	49.0068705	8.4034195	Germany
SRR17300578	49.0068705	8.4034195	Germany
SRR17300579	49.0068705	8.4034195	Germany
SRR17300580	49.0068705	8.4034195	Germany
SRR17300581	49.0068705	8.4034195	Germany
SRR17300582	49.0068705	8.4034195	Germany
SRR17300583	49.0068705	8.4034195	Germany
SRR17300584	49.0068705	8.4034195	Germany
SRR17300585	49.0068705	8.4034195	Germany
SRR17300586	49.0068705	8.4034195	Germany
SRR17300587	49.0068705	8.4034195	Germany
SRR17300588	49.0068705	8.4034195	Germany
SRR17300589	49.0068705	8.4034195	Germany
SRR17300590	49.0068705	8.4034195	Germany
SRR17300591	49.0068705	8.4034195	Germany
SRR17300592	49.0068705	8.4034195	Germany
SRR17300593	49.0068705	8.4034195	Germany
SRR17300594	49.0068705	8.4034195	Germany
SRR17300595	49.0068705	8.4034195	Germany
SRR17300596	49.0068705	8.4034195	Germany
SRR17300597	49.0068705	8.4034195	Germany
SRR17300598	49.0068705	8.4034195	Germany
SRR17300599	49.0068705	8.4034195	Germany
SRR17300600	49.0068705	8.4034195	Germany
SRR17300601	49.0068705	8.4034195	Germany
SRR17300602	49.0068705	8.4034195	Germany
SRR17300603	49.0068705	8.4034195	Germany
SRR17300604	49.0068705	8.4034195	Germany
SRR17300605	49.0068705	8.4034195	Germany
SRR17300606	49.0068705	8.4034195	Germany
SRR17300607	49.0068705	8.4034195	Germany
SRR17300608	49.0068705	8.4034195	Germany
SRR17300609	49.0068705	8.4034195	Germany
SRR17300610	49.0068705	8.4034195	Germany
SRR17300611	49.0068705	8.4034195	Germany
SRR17300612	49.0068705	8.4034195	Germany
SRR17300613	49.0068705	8.4034195	Germany
SRR17300614	49.0068705	8.4034195	Germany
SRR17300615	49.0068705	8.4034195	Germany
SRR17300616	49.0068705	8.4034195	Germany
SRR17300617	49.0068705	8.4034195	Germany
SRR17300618	49.0068705	8.4034195	Germany
SRR17300619	49.0068705	8.4034195	Germany
SRR17300620	49.0068705	8.4034195	Germany
SRR17300621	49.0068705	8.4034195	Germany
SRR17300622	49.0068705	8.4034195	Germany
SRR17300623	49.0068705	8.4034195	Germany
SRR17300624	49.0068705	8.4034195	Germany
SRR17300625	49.0068705	8.4034195	Germany
SRR17300626	49.0068705	8.4034195	Germany
SRR17300627	49.0068705	8.4034195	Germany
SRR17300628	49.0068705	8.4034195	Germany
SRR17300629	49.0068705	8.4034195	Germany
SRR17300630	49.0068705	8.4034195	Germany
SRR17300631	49.0068705	8.4034195	Germany
SRR17300632	49.0068705	8.4034195	Germany
SRR17300633	49.0068705	8.4034195	Germany
SRR17300634	49.0068705	8.4034195	Germany
SRR17300635	49.0068705	8.4034195	Germany
SRR17300636	49.0068705	8.4034195	Germany
SRR17300637	49.0068705	8.4034195	Germany
SRR17300638	49.0068705	8.4034195	Germany
SRR17300639	49.0068705	8.4034195	Germany
SRR17300640	49.0068705	8.4034195	Germany
SRR17300641	49.0068705	8.4034195	Germany
SRR17300642	49.0068705	8.4034195	Germany
SRR17300643	49.0068705	8.4034195	Germany
SRR17300644	49.0068705	8.4034195	Germany
SRR17300645	49.0068705	8.4034195	Germany
SRR17300646	49.0068705	8.4034195	Germany
SRR17300647	49.0068705	8.4034195	Germany
SRR17300648	49.0068705	8.4034195	Germany
SRR17300649	49.0068705	8.4034195	Germany
SRR17300650	49.0068705	8.4034195	Germany
SRR17300651	49.0068705	8.4034195	Germany
SRR17300652	49.0068705	8.4034195	Germany
SRR17300653	49.0068705	8.4034195	Germany
SRR17300654	49.0068705	8.4034195	Germany
SRR17300655	49.0068705	8.4034195	Germany
SRR17300656	49.0068705	8.4034195	Germany
SRR17300657	49.0068705	8.4034195	Germany
SRR17300658	49.0068705	8.4034195	Germany
SRR17300659	49.0068705	8.4034195	Germany
SRR17300660	49.0068705	8.4034195	Germany
SRR17300661	49.0068705	8.4034195	Germany
SRR17300662	49.0068705	8.4034195	Germany
SRR17300663	49.0068705	8.4034195	Germany
SRR17300664	49.0068705	8.4034195	Germany
SRR17300665	49.0068705	8.4034195	Germany
SRR17300666	49.0068705	8.4034195	Germany
SRR17300667	49.0068705	8.4034195	Germany
SRR17300668	49.0068705	8.4034195	Germany
SRR17300669	49.0068705	8.4034195	Germany
SRR17300670	49.0068705	8.4034195	Germany
SRR17300671	49.0068705	8.4034195	Germany
SRR17300672	49.0068705	8.4034195	Germany
SRR17300673	49.0068705	8.4034195	Germany
SRR17300674	49.0068705	8.4034195	Germany
SRR17300675	49.0068705	8.4034195	Germany
SRR17300676	49.0068705	8.4034195	Germany
SRR17300677	49.0068705	8.4034195	Germany
SRR17300678	49.0068705	8.4034195	Germany
SRR17300679	49.0068705	8.4034195	Germany
SRR17300680	49.0068705	8.4034195	Germany
SRR17300681	49.0068705	8.4034195	Germany
SRR17300682	49.0068705	8.4034195	Germany
SRR17300683	49.0068705	8.4034195	Germany
SRR17300684	49.0068705	8.4034195	Germany
SRR17300685	49.0068705	8.4034195	Germany
SRR17300686	49.0068705	8.4034195	Germany
SRR17300687	49.0068705	8.4034195	Germany
SRR17300688	49.0068705	8.4034195	Germany
SRR17300689	49.0068705	8.4034195	Germany
SRR17300690	49.0068705	8.4034195	Germany
SRR6399459	40.743884	-73.983974	United States of America
