ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ERR3230155_113306	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
8023.5.90052.GAGTCA_10351	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
ERR3230155_11181	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Oshimavirus	NA
ERR3230149_179686	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
8067.4.90153.GTGCTT_3297	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230153_106803	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
K7GSL311017_271	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Schitoviridae	Zurivirus	Zurivirus zuri
8067.5.90158.TGGTGA_489	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Incheonvirus	NA
ERR3230149_42658	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230155_76825	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Sextaecvirus	Sextaecvirus sextaec
ERR3230155_156649	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Zierdtviridae	Ceetrepovirus	NA
8023.5.90052.GAGTCA_1026	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
ERR3230155_82926	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Rheavirus	Rheavirus sinusmexicani
ERR3230148_210380	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	NA	NA	NA	NA
ERR3230155_166935_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Coventryvirus	NA
ERR3230150_191437	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	NA	NA
ERR3230156_409233	Viruses	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	NA
8067.4.90153.GTGCTT_4737	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Cronobacter phage phiES15
8131.3.91983.GTCGTA_1497	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230150_211792	Viruses	NA	NA	NA	NA	NA	NA	NA
ERR3230153_62013	Viruses	NA	NA	NA	NA	NA	NA	Apis mellifera filamentous virus
ERR3230152_290788	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	Lingvirus	Lingvirus PGSP1
ERR3230156_364629	Viruses	NA	NA	NA	NA	Polydnaviriformidae	Bracoviriform	Bracoviriform congregatae
8067.2.90157.AAGCCT_1750	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Sendosyvirus	NA
K7GSL311022_152	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Seoulvirus	Seoulvirus SPN3US
K7GSL311021_3	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Aliceevansviridae	Brussowvirus	Brussowvirus 20617
ERR3230152_199364	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230152_306781	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage vB_CpeS-CP51
ERR3230152_114756	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Salacisavirus	Salacisavirus pssm2
ERR3230153_24702	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Zierdtviridae	Ceetrepovirus	NA
ERR3230155_63298	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
8023.5.90052.GAGTCA_17189	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Fipvunavirus	NA
