ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
BackhedF_2015__SID12_M_4884	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
VincentC_2016__MM034.2.part-1_6051	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Straboviridae	Tulanevirus	Tulanevirus 50ahydr13pp
LeChatelierE_2013__MH0174.part-2_1653	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LiuW_2016__SRR3992991.part-1_373	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Popoffvirus	Popoffvirus pv56
ZeeviD_2015__PNP_Main_712.part-1_706	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Riemerella phage RAP44
BritoIL_2016__W1.21.ST_375	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	Suoliviridae	Burzaovirus	NA
NielsenHB_2014__V1_CD21_4.part-1_1636	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID103_M_2878	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Pagevirus	NA
BackhedF_2015__SID12_M_1827	Viruses	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	NA	NA
BackhedF_2015__SID128_12M_4513	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Sarumanvirus	Sarumanvirus bcepsaruman
BackhedF_2015__SID137_12M_15	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Lactobacillus phage phiAQ113
BackhedF_2015__SID10_M_3781	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage phiCT9441A
LeChatelierE_2013__MH0436.part-1_1133	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Taranisvirus	Taranisvirus taranis
AsnicarF_2017__MV_FEM2_t1Q14_4250	Viruses	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Carlavirus	Carlavirus americanense
CosteaPI_2017__daisy-11-386-0.part-1_519	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
BackhedF_2015__SID105_12M_3015	Viruses	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Rhadinovirus	Rhadinovirus atelinegamma3
VogtmannE_2016__MMRS33294861ST-27-0-0.part-2_8398	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Phaeovirus	Ectocarpus siliculosus virus 1
AsnicarF_2017__MV_FEI5_t3Q15_126	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Mapvirus	NA
